Country Code,Year,GDP(milUSD)
NLD,2018,996447.288
NLD,2019,1044307.685
NLD,2020,1043402.526
NLD,2021,1130684.908
NLD,2022,1254458.771
NZL,2010,135849.502
NZL,2011,143362.869
NZL,2012,145417.047
NZL,2013,160992.629
NZL,2014,168435.427
NZL,2015,172758.809
NZL,2016,188250.858
NZL,2017,203156.734
NZL,2018,208311.966
NZL,2019,228165.068
NZL,2020,231699.786
NZL,2021,245363.98
NZL,2022,264787.636
NOR,2010,284685.067
NOR,2011,309370.337
NOR,2012,330093.373
NOR,2013,342254.475
NOR,2014,340765.256
NOR,2015,315145.02
NOR,2016,310303.322
NOR,2017,340837.014
NOR,2018,373182.531
NOR,2019,373905.514
NOR,2020,350366.117
NOR,2021,442761.845
NOR,2022,627184.974
POL,2010,794704.641
POL,2011,862451.786
POL,2012,897877.763
POL,2013,925133.245
POL,2014,962317.654
POL,2015,1018896.563
POL,2016,1069459.06
POL,2017,1137654.148
POL,2018,1216240.494
POL,2019,1327882.052
POL,2020,1338432.734
POL,2021,1443514.646
POL,2022,1625114.218
PRT,2010,288228.565
PRT,2011,282620.91
PRT,2012,277991.759
PRT,2013,292135.199
PRT,2014,298951.673
PRT,2015,307230.008
PRT,2016,326364.379
PRT,2017,340370.325
PRT,2018,359198.932
PRT,2019,383670.579
PRT,2020,359941.428
PRT,2021,380604.427
PRT,2022,435778.702
SVK,2010,136951.599
SVK,2011,141755.313
SVK,2012,145972.536
SVK,2013,151678.246
SVK,2014,157298.526
SVK,2015,163007.449
SVK,2016,161498.697
SVK,2017,163951.2
SVK,2018,170864.165
SVK,2019,182461.859
SVK,2020,179720.165
SVK,2021,187958.995
SVK,2022,203458.07
ESP,2010,1475606.419
ESP,2011,1489594.952
ESP,2012,1483654.097
ESP,2013,1512561.983
ESP,2014,1558986.389
ESP,2015,1621825.009
ESP,2016,1734116.161
ESP,2017,1842770.464
ESP,2018,1905450.021
ESP,2019,2031924.567
ESP,2020,1800971.277
ESP,2021,1952698.504
ESP,2022,2213649.038
SWE,2010,395960.987
SWE,2011,421515.998
SWE,2012,432488.303
SWE,2013,444616.544
SWE,2014,457507.758
SWE,2015,481170.723
SWE,2016,500423.665
SWE,2017,522476.825
SWE,2018,544594.071
SWE,2019,579773.396
SWE,2020,581247.942
SWE,2021,629080.783
SWE,2022,683909.153
CHE,2010,425979.998
CHE,2011,454911.977
CHE,2012,475340.888
CHE,2013,498760.658
CHE,2014,519299.875
CHE,2015,540550.996
CHE,2016,563950.47
CHE,2017,576360.576
CHE,2018,601868.008
CHE,2019,623154.669
CHE,2020,613400.095
CHE,2021,671828.623
CHE,2022,742867.762
TUR,2010,1268708.962
TUR,2011,1454111.872
TUR,2012,1550688.484
TUR,2013,1703669.602
TUR,2014,1860470.92
TUR,2015,2022397.778
TUR,2016,2116398.303
TUR,2017,2264269.34
TUR,2018,2302309.895
TUR,2019,2313147.025
TUR,2020,2332603.593
TUR,2021,2581588.441
TUR,2022,3180983.731
GBR,2010,2290476
GBR,2011,2354769.787
GBR,2012,2442463.44
GBR,2013,2562195.165
GBR,2014,2666663.773
GBR,2015,2767234.195
GBR,2016,2892299.174
GBR,2017,3041891.843
GBR,2018,3129647.768
GBR,2019,3287761.88
GBR,2020,3069412.013
GBR,2021,3375529.345
GBR,2022,3678729.617
USA,2010,15048970
USA,2011,15599731
USA,2012,16253970
USA,2013,16843196
USA,2014,17550687
USA,2015,18206023
USA,2016,18695106
USA,2017,19477337
USA,2018,20533058
USA,2019,21380976
USA,2020,21060474
USA,2021,23315081
USA,2022,25439700
CHL,2010,307855.67
CHL,2011,349147.748
CHL,2012,374316.6
CHL,2013,392670.388
CHL,2014,402902.197
CHL,2015,405499.68
CHL,2016,424831.691
CHL,2017,450891.85
CHL,2018,478093.905
CHL,2019,487414.485
CHL,2020,481373.694
CHL,2021,552379.782
CHL,2022,592205.358
CHN,2010,12380166.28
CHN,2011,13844365.75
CHN,2012,15124539.5
CHN,2013,16185062.52
CHN,2014,17121277.1
CHN,2015,17796747.04
CHN,2016,18712097.15
CHN,2017,19887035.11
CHN,2018,21736534.82
CHN,2019,23441908.77
CHN,2020,24255795.54
CHN,2021,27445503.77
CHN,2022,30090699.89
COL,2010,480532.035
COL,2011,524596.546
COL,2012,548251.361
COL,2013,585888.316
COL,2014,618792.732
COL,2015,624119.465
COL,2016,665398.39
COL,2017,693117.075
COL,2018,747103.675
COL,2019,796590.015
COL,2020,769209.548
COL,2021,881190.92
COL,2022,1051418.088
EST,2010,28784.31
EST,2011,32598.245
EST,2012,34384.891
EST,2013,36198.154
EST,2014,38050.086
EST,2015,38378.235
EST,2016,41201.029
EST,2017,44556.482
EST,2018,48133.366
EST,2019,51758.554
EST,2020,52438.777
EST,2021,57864.708
EST,2022,62797.084
IND,2010,5170609.612
IND,2011,5618380.736
IND,2012,6153155.414
IND,2013,6477517.562
IND,2014,6781021.981
IND,2015,7159798.323
IND,2016,7735001.686
IND,2017,8276934.252
IND,2018,9021613.788
IND,2019,9526237.286
IND,2020,9005119.325
IDN,2010,2057206.51
IDN,2011,2229511.719
IDN,2012,2413435.226
IDN,2013,2535041.373
IDN,2014,2622251.601
IDN,2015,2647706.549
IDN,2016,2744896.64
IDN,2017,2894125.53
IDN,2018,3116594.552
IDN,2019,3331570.511
IDN,2020,3303238.766
IDN,2021,3567505.282
IDN,2022,3969883.308
ISR,2010,223877.628
ISR,2011,242552.856
ISR,2012,256309.664
ISR,2013,279898.839
ISR,2014,285199.509
ISR,2015,299862.537
ISR,2016,325370.412
ISR,2017,342747.665
ISR,2018,355910.254
ISR,2019,368048.537
ISR,2020,369246.186
ISR,2021,413651.029
ISR,2022,475531.164
RUS,2010,3143873.887
RUS,2011,3259319.17
RUS,2012,3480301.72
RUS,2013,3741783.371
RUS,2014,3763536.922
RUS,2015,3526234.314
RUS,2016,3538975.3
RUS,2017,3807099.411
RUS,2018,4231840.387
RUS,2019,4398115.281
RUS,2020,4367291.715
SVN,2010,57002.774
SVN,2011,59391.555
SVN,2012,59745.667
SVN,2013,61744.434
SVN,2014,63653.392
SVN,2015,65265.909
SVN,2016,70079.359
SVN,2017,75438.709
SVN,2018,80823.475
SVN,2019,87986.552
SVN,2020,85974.042
SVN,2021,92826.649
SVN,2022,102014.348
ZAF,2010,661392.383
ZAF,2011,696526.062
ZAF,2012,698221.036
ZAF,2013,730517.508
ZAF,2014,741915.64
ZAF,2015,758900.96
ZAF,2016,772768.575
ZAF,2017,790170.605
ZAF,2018,823603.406
ZAF,2019,840317.205
ZAF,2020,796453.237
ZAF,2021,870861.683
ZAF,2022,949506.772
OECD,2010,44688570.51
OECD,2011,46757743.68
OECD,2012,48298934.5
OECD,2013,50325538.19
OECD,2014,52097534.69
OECD,2015,53908698.44
OECD,2016,56126229.91
OECD,2017,58611408.41
OECD,2018,61252564.49
OECD,2019,63652479.43
OECD,2020,62184451.36
OECD,2021,67622831.96
OECD,2022,74627691.18
OECDE,2010,18206901.62
OECDE,2011,19165163.94
OECDE,2012,19597771.33
OECDE,2013,20431300.02
OECDE,2014,21170776.58
OECDE,2015,21952114.85
OECDE,2016,23198809.89
OECDE,2017,24435096.58
OECDE,2018,25473550.69
OECDE,2019,26859565.05
OECDE,2020,25951188.14
OECDE,2021,28081678.51
OECDE,2022,31458481.64
LVA,2010,37140.93
LVA,2011,39646.372
LVA,2012,43311.604
LVA,2013,45564.445
LVA,2014,47483.527
LVA,2015,49384.342
LVA,2016,52362.25
LVA,2017,55691.223
LVA,2018,59505.491
LVA,2019,62800.719
LVA,2020,62367.823
LVA,2021,65523.038
LVA,2022,74846.879
BRA,2010,2798924.733
BRA,2011,2970630.763
BRA,2012,2998534.425
BRA,2013,3133893.65
BRA,2014,3187155.079
BRA,2015,3014754.849
BRA,2016,2939094.21
BRA,2017,3017715.87
BRA,2018,3145953.19
BRA,2019,3241317.4
BRA,2020,3213097.741
LTU,2010,62244.934
LTU,2011,69298.245
LTU,2012,73809.042
LTU,2013,79034.188
LTU,2014,82647.295
LTU,2015,83761.504
LTU,2016,88700.479
LTU,2017,95492.278
LTU,2018,101910.429
LTU,2019,111744.68
LTU,2020,112387.535
LTU,2021,123376.826
LTU,2022,138355.938
SAU,2010,1413178.186
SAU,2011,1586748.761
SAU,2012,1672470.749
SAU,2013,1680157.97
SAU,2014,1722861.782
SAU,2015,1541831.733
SAU,2016,1475672.107
SAU,2017,1565891.582
SAU,2018,1643610.545
SAU,2019,1678594.247
SAU,2020,1628533.458
SAU,2021,1751177.858
EA19,2010,12023192.56
EA19,2011,12554120.4
EA19,2012,12706766.06
EA19,2013,13150941.55
EA19,2014,13523515.17
EA19,2015,13934266.29
EA19,2016,14823273.19
EA19,2017,15566850.49
EA19,2018,16261013.04
EA19,2019,17237784.38
EA19,2020,16561719.06
EA19,2021,17754807.5
EA19,2022,19595561.81
ARG,2010,736799.121
ARG,2011,797263.882
ARG,2012,819697.902
ARG,2013,849616
ARG,2014,839896.688
ARG,2015,867176.759
ARG,2016,885227.529
ARG,2017,1039330.592
ARG,2018,1036307.018
ARG,2019,1033737.648
ARG,2020,942170.824
ARG,2021,1083361.763
CRI,2010,60585.846
CRI,2011,64567.752
CRI,2012,69073.803
CRI,2013,73210.057
CRI,2014,79269.13
CRI,2015,85240.084
CRI,2016,93454.856
CRI,2017,100716.907
CRI,2018,106583.345
CRI,2019,114952.28
CRI,2020,111138.964
CRI,2021,116703.599
CRI,2022,129120.036
BGR,2010,110625.916
BGR,2011,115717.55
BGR,2012,119285.264
BGR,2013,120959.838
BGR,2014,127258.875
BGR,2015,131975.085
BGR,2016,143024.905
BGR,2017,151834.589
BGR,2018,161616.047
BGR,2019,175501.638
BGR,2020,175298.038
BGR,2021,193259.135
BGR,2022,220295.175
HRV,2010,86300.85
HRV,2011,90492.617
HRV,2012,91794.883
HRV,2013,94401.807
HRV,2014,94978.464
HRV,2015,98327.492
HRV,2016,105690.85
HRV,2017,112464.616
HRV,2018,118467.113
HRV,2019,128708.083
HRV,2020,120445.675
HRV,2021,135116.206
HRV,2022,157015.32
CYP,2010,27795.781
CYP,2011,28424.76
CYP,2012,27580.612
CYP,2013,26247.51
CYP,2014,25720.828
CYP,2015,27059.5
CYP,2016,30552.782
CYP,2017,33018.337
CYP,2018,35391.23
CYP,2019,38840.162
CYP,2020,36948.39
CYP,2021,39970.121
CYP,2022,45399.505
MLT,2010,11905.695
MLT,2011,12060.668
MLT,2012,12703.272
MLT,2013,13757.007
MLT,2014,14924.391
MLT,2015,16669.533
MLT,2016,18080.342
MLT,2017,20354.833
MLT,2018,22118.132
MLT,2019,24810.616
MLT,2020,23163.257
MLT,2021,25923.677
MLT,2022,29364.101
ROU,2010,351401.806
ROU,2011,378833.587
ROU,2012,397334.041
ROU,2013,393222.364
ROU,2014,410763.371
ROU,2015,428503.297
ROU,2016,470979.152
ROU,2017,527783.803
ROU,2018,575806.732
ROU,2019,640553.648
ROU,2020,642164.611
ROU,2021,694425.943
ROU,2022,792547.021
MKD,2010,23346.758
MKD,2011,24064.243
MKD,2012,24558.756
MKD,2013,26269.669
MKD,2014,27775.93
MKD,2015,28751.905
MKD,2016,31373.363
MKD,2017,32583.005
MKD,2018,34872.76
MKD,2019,37395.328
MKD,2020,35902.666
MKD,2021,37872.917
MKD,2022,41486.132
ZMB,2010,43256.434
ZMB,2011,46612.239
ZMB,2012,49508.704
ZMB,2013,53419.766
ZMB,2014,54506.425
ZMB,2015,54472.617
ZMB,2016,55712.229
ZMB,2017,58603.828
ZMB,2018,62564.66
ZMB,2019,64601.642
ZMB,2020,63559.36
HKG,2010,345524.692
HKG,2011,369685.332
HKG,2012,373482.559
HKG,2013,385448.332
HKG,2014,396043.918
HKG,2015,411294.477
HKG,2016,419837.595
HKG,2017,442425.449
HKG,2018,465891.515
HKG,2019,466266.324
HKG,2020,441000.955
HKG,2021,488461.722
MDG,2010,32812.667
MDG,2011,34048.44
MDG,2012,34613.437
MDG,2013,35664.458
MDG,2014,37112.146
MDG,2015,37860.94
MDG,2016,40431.499
MDG,2017,40952.508
MDG,2018,43169.242
MDG,2019,45918.731
MDG,2020,43227.888
MAR,2010,224955.598
MAR,2011,241675.201
MAR,2012,244714.331
MAR,2013,256127.215
MAR,2014,248261.803
MAR,2015,269769.48
MAR,2016,273970.678
MAR,2017,285550.399
MAR,2018,300886.834
MAR,2019,313443.273
MAR,2020,292347.633
MAR,2021,332718.328
SGP,2010,382733.648
SGP,2011,414966.621
SGP,2012,435964.936
SGP,2013,448140.098
SGP,2014,461771.556
SGP,2015,481405.402
SGP,2016,501823.879
SGP,2017,535039.344
SGP,2018,567560.996
SGP,2019,586329.688
SGP,2020,571868.039
SGP,2021,678160.327
EU27_2020,2010,14510078.44
EU27_2020,2011,15204447.96
EU27_2020,2012,15434257.63
EU27_2020,2013,15958491.88
EU27_2020,2014,16442214.02
EU27_2020,2015,16993106.47
EU27_2020,2016,18066059.25
EU27_2020,2017,19038189.4
EU27_2020,2018,19960032.66
EU27_2020,2019,21248914.83
EU27_2020,2020,20565149.58
EU27_2020,2021,22082350.79
EU27_2020,2022,24454911.19
ALB,2010,28048.431
ALB,2011,29655.579
ALB,2012,30530.397
ALB,2013,30603.995
ALB,2014,32529.046
ALB,2015,33585.806
ALB,2016,34740.019
ALB,2017,36696.774
ALB,2018,38690.695
ALB,2019,41121.413
ALB,2020,39826.28
SRB,2010,93316.964
SRB,2011,99446.681
SRB,2012,100310.888
SRB,2013,104804.573
SRB,2014,104530.725
SRB,2015,105922.988
SRB,2016,111931.491
SRB,2017,116623.419
SRB,2018,123717.018
SRB,2019,134771.47
SRB,2020,134862.222
SRB,2021,147874.29
GEO,2010,28645.899
GEO,2011,31404.993
GEO,2012,36640.15
GEO,2013,39450.982
GEO,2014,43054.384
GEO,2015,45035.513
GEO,2016,47930.085
GEO,2017,50662.562
GEO,2018,54384.905
GEO,2019,58115.885
GEO,2020,54840.076
GEO,2021,63096.682
CMR,2010,57303.422
CMR,2011,60470.66
CMR,2012,63568.301
CMR,2013,69098.828
CMR,2014,75134.547
CMR,2015,79112.64
CMR,2016,84392.895
CMR,2017,90037.542
CMR,2018,95835.08
CMR,2019,100939.193
CMR,2020,102499.678
SEN,2010,33637.035
SEN,2011,34793.989
SEN,2012,36713.666
SEN,2013,37797.219
SEN,2014,40124.398
SEN,2015,43317.631
SEN,2016,46119.11
SEN,2017,49402.166
SEN,2018,53722.712
SEN,2019,57219.726
SEN,2020,58676.63
