Country Name,Year,FixedBroadbandPenetration,MobileBroadbandPenetration,GDP(milUSD)
Lithuania,2019,27.7429264,107.788,111744.68
Austria,2020,29.255335,113.826,510361.633
Belgium,2020,40.9472954,89.553,630920.981
Czechia,2020,36.5154572,94.473,458157.819
Denmark,2020,44.4634676,137.774,354277.793
France,2020,47.4984101,95.227,3262896.418
Germany,2020,43.4606298,91.369,4694786.155
Greece,2020,40.4959289,86.284,303299.582
Hungary,2020,33.4883738,75.443,333161.834
Iceland,2020,38.6768448,114.388,19912.086
Ireland,2020,30.6598568,103.644,471371.126
Italy,2020,30.4682531,94.776,2564795.429
Luxembourg,2020,37.3077411,107.562,75356.892
Netherlands,2020,43.1614982,127.68,1043402.526
Norway,2020,44.3816441,102.353,350366.117
Poland,2020,21.7787506,124.588,1338432.734
Portugal,2020,40.4033252,80.046,359941.428
Slovak Republic,2020,31.1830763,88.333,179720.165
Sweden,2020,40.3084781,125.828,581247.942
United Kingdom,2020,40.7870393,108.969,3069412.013
Slovenia,2020,30.7702297,86.811,85974.042
Latvia,2020,25.8595442,119.252,62367.823
Lithuania,2020,28.2512613,114.158,112387.535
Austria,2021,29.0515151,118.23,535814.997
Belgium,2021,42.3779262,93.36,689479.057
Czechia,2021,37.569593,97.535,479378.76
Denmark,2021,44.6880039,141.701,387053.183
France,2021,48.7901681,99.551,3481611.03
Germany,2021,44.2167646,94.631,4913166.143
Greece,2021,42.4598853,92.81,332695.257
Hungary,2021,34.8322404,82.208,356701.68
Iceland,2021,38.6471708,118.779,21715.673
Ireland,2021,31.6251635,107.963,546184.137
Italy,2021,31.5435481,97,2814257.328
Luxembourg,2021,38.0966682,111.321,84252.097
Netherlands,2021,43.5076578,133.722,1130684.908
Norway,2021,44.981391,104.043,442761.845
Poland,2021,22.6572833,131.268,1443514.646
Portugal,2021,41.921456,88.586,380604.427
Slovak Republic,2021,32.5769666,88.848,187958.995
Sweden,2021,40.6363101,127.246,629080.783
United Kingdom,2021,41.350431,112.882,3375529.345
Slovenia,2021,31.6916972,91.283,92826.649
Latvia,2021,26.137896,117.292,65523.038
Lithuania,2021,28.7934514,121.513,123376.826
Austria,2022,29.3215806,114.452,613714.889
Belgium,2022,43.5129672,94.591,765169.283
Czechia,2022,38.1479545,103.142,525014.413
Denmark,2022,44.8421619,141.775,442119.714
France,2022,49.4037845,100.913,3764758.779
Germany,2022,44.9802934,92.132,5323008.116
Greece,2022,42.8192529,98.269,386578.919
Hungary,2022,35.4965052,86.232,402509.611
Iceland,2022,38.1696872,123.721,26593.332
Ireland,2022,32.0819102,115.976,650316.274
Italy,2022,33.8469647,96.069,3112290.717
Luxembourg,2022,38.6651307,114.299,91837.052
Netherlands,2022,44.4659176,122.578,1254458.771
Norway,2022,45.7693043,102.864,627184.974
Poland,2022,22.9683856,132.474,1625114.218
Portugal,2022,43.5502268,95.714,435778.702
Slovak Republic,2022,32.9731106,88.995,203458.07
Sweden,2022,40.4036572,133.154,683909.153
United Kingdom,2022,41.4848784,114.577,3678729.617
Slovenia,2022,32.2191161,96.522,102014.348
Latvia,2022,26.4016824,117.822,74846.879
Lithuania,2022,29.3964666,127.709,138355.938
