Country Name	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
Europe & Central Asia (excluding high income)	3.29684085	5.2092864	6.81827643	8.49381553	9.63055805	11.1499567	12.5655456	13.1444925	14.4445493	15.1849853	16.7358227	18.065525	18.3474404	20.0592566	21.1914588	22.7764107
Europe & Central Asia	13.3892368	15.5528819	17.3708729	18.9989246	20.3310804	21.5218948	22.7865948	23.6597535	24.8249785	25.7412007	27.0429933	28.2069278	28.672935	30.0061816	31.0395056	34.9010962
Euro area	21.5238187	24.1280685	26.2761974	27.9784251	29.2294259	30.2121214	31.285957	32.503241	33.714974	34.9125284	36.1469279	37.1023729	37.9439156	39.079363	40.0755617	41.054416
European Union	19.6575227	22.1007929	24.263672	25.8445417	27.2652567	28.1514686	29.2200892	30.3435203	31.4509303	32.5654171	33.786646	34.7500632	35.6346242	36.8053737	37.8613994	38.6802657
France	25.6810048	28.8880566	31.9712453	34.1695059	36.2387939	38.0203926	39.3777992	40.8391512	42.1048382	43.2572199	44.4000403	45.2722346	46.2113531	47.4984101	48.7901681	49.4037845
United Kingdom	25.4747434	28.0359896	28.7214858	30.5154495	32.5329192	33.9854265	35.830451	36.6350414	37.8127244	38.7990865	39.4210373	40.0209426	40.2939298	40.7870393	41.350431	41.4848784
Greece	9.17347278	13.6089143	17.3364452	20.4159625	22.3929469	24.5304431	26.6910019	29.0534844	31.823339	33.6289838	35.3365828	37.259131	38.8809218	40.4959289	42.4598853	42.8192529
Croatia	8.78554508	12.0170546	16.3699845	19.1788279	20.516255	21.2213333	22.1571675	22.9806591	23.1787986	24.7125127	26.1392874	27.1023931	27.9622844	25.1648942	25.8239935	26.9874041
Hungary	14.4854704	17.6642114	19.7502843	21.6226979	23.239579	24.1484008	26.2481404	26.1508197	27.618103	28.6754272	30.2033182	31.4999614	32.6417887	33.4883738	34.8322404	35.4965052
Ireland	17.4025433	20.0171728	21.6983585	22.5427083	23.5620148	24.3634531	25.9153528	27.2330706	28.0654599	28.8436206	29.3135121	29.5823338	29.8722084	30.6598568	31.6251635	32.0819102
Iceland	32.0747275	33.3685851	33.5859473	34.3074705	34.9472115	35.335645	36.2525615	36.5173786	37.5871443	38.1389737	39.1767938	39.096349	38.5950761	38.6768448	38.6471708	38.1696872
Italy	17.220802	19.0399476	20.2887183	21.8948371	22.5214421	22.8664705	23.2339117	23.842542	24.7375928	25.8876159	27.6421041	28.6550415	29.2501153	30.4682531	31.5435481	33.8469647
Liechtenstein	40.398293	43.9265537	44.8016819	42.4483661	37.5666639	39.4915626	40.797696	42.0800086	42.0184714	42.3701774	42.8974873	43.7704618	44.6260589	46.5734338	47.5268321	48.7934498
Lithuania	17.0832699	18.3012972	19.9271556	21.6411879	23.475691	25.0987729	27.6138551	26.7740416	28.1161968	29.2384566	27.501558	27.4237795	27.7429264	28.2512613	28.7934514	29.3964666
Luxembourg	26.8157077	29.3061283	31.3577093	33.2040941	32.7578222	31.9835653	32.5006537	33.5929534	34.2987805	34.8160884	35.9896827	36.896727	37.3725953	37.3077411	38.0966682	38.6651307
Latvia	15.5583986	19.1641416	21.3855752	20.6933044	22.0234822	23.1852675	24.4156248	25.1113976	25.276826	26.3065778	26.9186265	27.1743567	26.5541036	25.8595442	26.137896	26.4016824
Monaco	38.65129	40.8009541	41.3567483	41.5938272	46.8993961	46.8530259	47.6937842	49.2938244	49.929271	50.2117558	51.9868265	53.1583354	55.2897338	56.5435242	57.6732268	58.9569223
North Macedonia	4.82397787	8.67652465	11.1390725	12.3573188	13.4264048	14.8737924	16.1013978	16.8192426	17.2878354	18.0803584	18.7641544	20.2491518	21.4882772	22.52737	23.7137777	24.1917503
Netherlands	33.5972305	35.265665	37.0641201	38.0872326	38.9067922	39.6418318	40.2671386	40.4091499	41.2478896	42.1779783	42.3635504	42.8478654	42.9560586	43.1614982	43.5076578	44.4659176
Norway	30.9425944	33.0791456	34.5446658	35.2443003	36.0483297	37.0134145	37.6076532	38.4810869	39.50519	40.2356304	41.028239	41.5234963	42.2679038	44.3816441	44.981391	45.7693043
Poland	10.83541	11.5845071	14.5142233	15.1784968	18.0527631	17.8317674	18.2116997	18.7493598	18.8455334	19.0176905	19.809294	20.3819451	20.3617167	21.7787506	22.6572833	22.9683856
Portugal	14.4531033	15.4563197	18.0508459	20.0850818	21.2311684	22.7215212	24.4956513	27.4565129	30.3140939	32.6689025	34.67987	36.7808036	38.559239	40.4033252	41.921456	43.5502268
Paraguay	0.15384219	0.22674339	1.35789558	1.55137839	2.05513816	2.29857502	2.60714407	3.03945953	3.482304	3.93609565	4.56719982	4.97724158	6.31216476	8.49667495	10.7802307	10.8841006
Romania	9.41080966	12.2218668	13.7425794	14.7556866	16.2369126	17.5861312	18.8885023	20.0861269	21.4112081	22.4746967	24.1373546	25.9584145	27.0291383	29.2393421	31.5631221	32.3695538
Slovak Republic	10.1640977	11.2361371	14.3823834	16.2506319	17.6412077	19.3277002	20.482243	21.9799028	23.4828123	24.6085628	25.8414139	27.6775161	29.163461	31.1830763	32.5769666	32.9731106
Slovenia	17.0359856	20.9089036	21.9512529	22.8712266	23.935282	24.6132851	25.3149769	26.7873366	27.3456866	28.1970508	28.680056	29.0962542	29.7192676	30.7702297	31.6916972	32.2191161
Sweden	30.3384491	31.4524659	31.662856	31.9721096	31.9777641	32.1596712	32.6213824	33.6640709	35.497172	36.9702683	38.3253548	38.7913049	39.3334211	40.3084781	40.6363101	40.4036572
